1, VC2, [(1723000, 200)], []
114, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
115, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
116, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
117, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
118, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
119, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
120, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
121, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
122, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
123, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
124, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
125, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
126, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
127, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
128, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
129, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
130, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
131, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
132, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
133, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
134, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
135, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
136, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
137, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
138, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
139, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
140, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
141, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
142, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
143, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
144, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
145, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
146, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
147, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
148, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
149, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
150, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
151, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
152, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
153, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
154, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
155, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
156, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
157, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
158, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
159, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
160, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
161, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
162, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
163, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
164, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
165, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
166, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
167, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
168, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
169, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
170, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
171, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
172, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
173, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
174, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
175, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
176, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
177, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
178, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
179, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
180, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
181, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
182, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
183, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
184, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
185, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
186, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
187, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
188, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
189, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
190, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
191, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
192, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
193, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
194, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
195, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
196, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
197, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
198, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
199, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
200, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
201, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
202, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
203, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
204, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
205, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
206, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
207, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
208, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
209, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
210, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
211, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
212, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
213, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
214, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
215, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
216, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
217, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
